Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-LC3039C-PT,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039K-PT,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039M,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039M-PT,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039Y,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC3039Y-PT,MFC-J5845DW,MFC-J5945DW,MFC-J6545DW,MFC-J6545DW XL,MFC-J6945DW,,,,,,,,,
Brother,CBRO-LC41C,INTELLIFAX 210C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX 2,,,,,,
Brother,CBRO-LC41C-PT,INTELLIFAX 210C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX 2,,,,,,
Brother,CBRO-LC41K,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC41K-PT,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC41M,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC41M-PT,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC41Y,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC41Y-PT,INTELLIFAX 1840C,DCP110C,DCP115C,DCP 120C,DCP 315CN,FAX 1840C,FAX 2440C,INTELLIFAX,,,,,,
Brother,CBRO-LC51C,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC51C-PT,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC51K,INTELLIFAX 1360,DCP 120C,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,,,,,,
Brother,CBRO-LC51K-PT,INTELLIFAX 1360,DCP 120C,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,,,,,,
Brother,CBRO-LC51M,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC51M-PT,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC51Y,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC51Y-PT,INTELLIFAX 1360,DCP130C,DCP330C,DCP350C,DCP540C,DCP540CN,INTELLIFAX 1860C,INTELLIFA,,,,,,
Brother,CBRO-LC61C,DCP 165C,DCP 375CW,DCP 385C,DCP 385CW,DCP 395CN,DCP 585CW,DCP 6690CW,DCP J125,MFC,,,,,
Brother,CBRO-LC61K,DCP 165C,DCP 375CW,DCP 385C,DCP 385CW,DCP 395CN,DCP 585CW,DCP 6690CW,DCP J125,MFC,,,,,
Brother,CBRO-LC61M,DCP 165C,DCP 375CW,DCP 385C,DCP 385CW,DCP 395CN,DCP 585CW,DCP 6690CW,DCP J125,MFC,,,,,
Brother,CBRO-LC61Y,DCP 165C,DCP 375CW,DCP 385C,DCP 385CW,DCP 395CN,DCP 585CW,DCP 6690CW,DCP J125,MFC,,,,,
Brother,CBRO-LC65C-PT,MFC-5890CN,MFC-5895CW,MFC-6490CW,MFC-6890CDW,MFC-6890DW,,,,,,,,,
Brother,CBRO-LC65K-PT,MFC-5890CN,MFC-5895CW,MFC-6490CW,MFC-6890CDW,MFC-6890DW,,,,,,,,,
Brother,CBRO-LC65M-PT,MFC-5890CN,MFC-5895CW,MFC-6490CW,MFC-6890CDW,MFC-6890DW,,,,,,,,,
Brother,CBRO-LC65Y-PT,MFC-5890CN,MFC-5895CW,MFC-6490CW,MFC-6890CDW,MFC-6890DW,,,,,,,,,
Brother,CBRO-LC75C,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75C-PT,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
Brother,CBRO-LC75K,MFC J280W,MFC J425W,MFC J430W,MFC J435W,MFC J625DW,MFC J825DW,MFC J835DW,MFC J5910D,,,,,,
